Title,Reference No,OCID,Published by,Publication Date,Deadline Date,Deadline Time,Notice Type,Has Documents,Has ESPD,Abstract,Description of the procurement,Award criteria,Additional CPV code(s),Place of performance,Duration of the contract,Variants,Options,EU funds,Estimated date of publication of contract notice,Additional information,Date of dispatch of this notice,Information about Government Procurement Agreement (GPA)
Asbestos Surveys 2024-2025,MAY506371,ocds-r6ebe6-0000768079,Ochil View Housing Association Limited,31/05/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),No,No,"Surveying of properties to determine if asbestos is present and surveying of asbestos in existing locations to determine any change in conditionCPV: 71315300, 71315300.",Asbestos surveys of our existing stock (tenanted) to determine if any asbestos is present and also surveying areas of known asbestos to check and report on its current condition,,71315300,"NUTS code:
UKM72",,,,,07/06/2024,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=768079.,31/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Request for Information - Screen Scotland’s Screen Commission Software,MAY505731,ocds-r6ebe6-0000767181,Creative Scotland,22/05/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),Yes,No,"Please see attached document for additional informationCPV: 72000000, 72000000.",Please see attached document for additional information,,72000000,"NUTS code:
UKM75",,,,,31/07/2024,"A Request for Information document, including a response template, has been attached to this Notice.",22/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
Air Quality Management Provision,JUN507177,ocds-r6ebe6-0000766197,Fife Council,11/06/2024,16/07/2024,12:00,02 Contract Notice,Yes,Yes,"Air Quality Management ProvisionCPV: 90731100, 90731100, 50433000, 72322000, 90731100, 90731100.",Servicing/Calibration of Automatic Monitoring Equipment,"Criteria below:
Quality criterion: Quality
                    / Weighting: 50
Price
                    
                      / Weighting: 
                      50","90731100
50433000","NUTS code:
UKM72

Main site or place of performance:
Fife","Duration in months: 36
This contract is subject to renewal: Yes
Description of renewals:
Option to extend the framework period of up to 12 months following initial 36 month period.","Variants will be accepted:
            
              No","Options:
            
              Yes
Description of options:
Fife Council may require additional purchases under this contract which have not been specifically detailed in the ""specification"" however any additional purchases will be in full accordance with the requirements of Regulation 72 of the Public Contract (Scotland) Regulations 2015.","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,Please note that Fife Council is dependent upon grant funding being made available by external organisations for much of the services required under this framework agreement. The Council cannot guarantee spend/activity through the framework.,11/06/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Mechanised Ground Preparation Framework Agreement - PIN,MAY505176,ocds-r6ebe6-0000766545,Forestry and Land Scotland,14/05/2024,,,01 Prior Information Notice (PIN),Yes,No,"As part of the development process for a procurement strategy for a Mechanised Ground Preparation Framework Agreement, Forestry and Land Scotland (FLS) is seeking views and information from the marketplace in connection with the areas set out in this Prior Information Notice (PIN).Full details can be found in the documentation provided with this notice.Please note, the framework agreement to which this PIN relates will have a lotting structure. However, II.1.6) of this notice indicates that it is not divided into lots. To be clear, this simply means that this PIN notice is not divided into lots. However, the framework agreement to which this PIN relates will be divided into lots, as detailed in the PIN documentation provided.CPV: 77300000, 77200000.","As part of the development process for a procurement strategy for a Mechanised Ground Preparation Framework Agreement, Forestry and Land Scotland (FLS) is seeking views and information from the marketplace in connection with the areas set out in this Prior Information Notice (PIN).
A framework agreement provides a route to market for public sector contracting authorities to procure goods, services and works from a list of pre-approved suppliers.
The purpose of the framework agreement is to provide a compliant route to market for FLS to procure requirements which existing contractors do not have the capacity to undertake, to replace contracts which have been terminated due to contract failure, or to replace contracts upon their expiration. The framework agreement will not be used as a route to market for any other reason.
Details of the scope of services covered under the framework agreement can be found in the supporting documentation provided with this notice.",,77200000,"NUTS code:
UKM",,,,,14/08/2024,Please complete the Market Engagement Questionnaire which is accessible via the following link:,14/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
"Prior Information Notice - High Voltage Maintenance at Benbecula, Inverness, Stornoway and Sumburgh Airports",MAY506189,ocds-r6ebe6-0000767773,Highlands and Islands Airports Limited,29/05/2024,,,04 Periodic Indicative Notice (Utilities),Yes,No,"This is a Prior Information Notice (PIN) to inform the supply market of one of 31 forthcoming Infrastructure Maintenance Service Tenders across HIAL Airports in 2024/25.Provision of High Voltage Maintenance Services at Benbecula, Inverness, Stornoway and Sumburgh airports.CPV: 71314100, 45315400, 71314100.","HIAL requires the provision of high voltage maintenance services at Benbecula, Inverness, Stornoway and Sumburgh airports.
The provision of a customer focused, professionally managed, high-quality service is required for the duration of the contract term.
The overall purpose of the contract is to achieve the operational performance and customer satisfaction required, whilst ensuring compliance with relevant statutory and mandatory legislation.
The Services covered under the scope include:
- Provision of a full routine planned preventative maintenance (PPM) programme for all high voltage assets;
- Emergency Works and support on high voltage assets as required;
- Reactive works to faults identified by HIAL or during PPM;
- Specialist advice relating to high voltage assets as required;
- Minor works as instructed by HIAL up to a value of GBP250k.
See attached PIN Document for more information on the background to requirement, scope, programme and next steps.",,"45315400
71314100","NUTS code:
UKM62
UKM64
UKM66

Main site or place of performance:
HIAL's airports at Benbecula, Inverness, Stornoway and Sumburgh.",,,,,02/09/2024,HIAL is conducting several tender exercises during 2024/25 for various maintenance service contracts across the estate.  An overview of all contract opportunities on offer is included as an attachment to this PIN.,29/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
AI Software for NHS Scotland Radiology Imaging – Dynamic Purchasing System,MAY504858,ocds-r6ebe6-0000765711,The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS),08/05/2024,20/07/2026,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"This notice is to allow the management of a Dynamic Purchasing System (DPS) for the development of Artificial Intelligence decision support systems in NHS in Scotland with a unique opportunity to improve service provision, particularly in Radiology.To support this ambition the Authority has set up a Dynamic Purchasing System (DPS) as advertised on UK Find a Tender Contract notice Notice reference: 2022/S 000-002310 on 26/1/22. This notice allows suppliers not on the DPS to submit an application to get on it. To get on the DPS suppliers must submit their SPD responses by email to Jim Binnie at jim.binnie@nhs.scot Suppliers already live on the DPS do not need to re-apply.Lots1. Neuro Al- Thrombectomy/stroke- Lesion Detection- Any other relevant application2. Chest x-ray- Prioritisation- Diagnostic Support3. MRI- Prostate contouring and lesion localisation4. CT- Lung Nodule identification, characterisation and follow up- Pulmonary Embolism detection5. Osteoporosis- Support in the form of osteoporotic fracture identification and bone mineral density calculation6. Mammography- Diagnostic Support7. Radiotherapy- CT contouring8. Workflow and schedulingCPV: 72000000, 72000000, 72000000, 72000000, 72000000, 72000000, 72000000, 72000000, 72000000.","Artificial Intelligence Software in the following Neuro areas:
- Thrombectomy/stroke
- Lesion Detection
- Any other relevant application
This notice is to allow the management of the DPS which was put in place in 2022. Call off contracts will be awarded by either NHS National Services Scotland or any of the NHS Scotland Health Boards. The contract will deliver services to entities constituted pursuant to the National Health Service (Scotland) Act 1978 as amended.",Price is not the only award criterion and all criteria are stated only in the procurement documents,72000000,"NUTS code:
UKM

Main site or place of performance:
Scotland","Duration in months: 48
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,This notice is to allow the management of the DPS put in place in 2022. Suppliers already on the DPS need not re-apply. To get on the DPS suppliers must submit their SPD responses by email to Jim Binnie at jim.binnie@nhs.scot,08/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
"Acquisition of land for affordable housing - Townhill Road, Dunfermline",APR503247,ocds-r6ebe6-0000764041,Kingdom Housing Association Limited,17/04/2024,,,15 Voluntary ex ante Transparency (VEAT) Notice,No,No,"Kingdom Housing Association, working in partnership with Fife Council, is in the process of delivering new affordable housing inDunfermline and these new properties form part of that delivery.CPV: 45211300.","Kingdom Housing Association working in partnership with Fife Council is in the process of delivering affordable housing within
Dunfermline and these new properties form part of that delivery programme. The site is owned by the Developer, therefore it is a requirement
of the sale that the Design & Build Contract be awarded Lochay Homes Ltd. The Contract can only be awarded to this particular operator,
therefore Kingdom is using the Negotiated Procedure without prior publication of a Contract Notice.",,,"NUTS code:
UKM72

Main site or place of performance:
Dunfermline, Fife",,,"Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=764041.,17/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
Fort George - Underpinning of Historic Sea Wall,JUN506463,ocds-r6ebe6-0000768184,Historic Environment Scotland,03/06/2024,24/06/2024,17:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"Generally the works comprise of underpinning a section of the existing sea wall at Fort George (Dog Cemetary) with concrete. This will temporary propping, excavation from beach side, installing and securing formwork to allow mass concrete fill beneath the existing sea wall. Removal of formwork and reinstatement of existing beach.CPV: 45200000, 45000000.","Historic Environment Scotland is seeking tenders from those who may be interested in carrying out repairs to one of the sea walls at Fort George, works as detailed in the tender documents. Tenders will be evaluated on a Price and Quality basis as detailed in the tender documents.","Criteria below:
Quality criterion: Experience
                    / Weighting: 15
Quality criterion: Methodology & Programme
                    / Weighting: 15
Quality criterion: Resources
                    / Weighting: 5
Quality criterion: Health and Safety
                    / Weighting: 5
Cost criterion: Price
                    / Weighting: 60",45000000,"NUTS code:
UKM62

Main site or place of performance:
Fort George, Near Ardersier, Inverness, IV2 7TD","Duration in working days: 25
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=768184.,03/06/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Peer & Family Support Service,MAY505434,ocds-r6ebe6-0000766882,Aberdeen City Council,16/05/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),No,No,"Aberdeenshire’s Health and Social Care Partnership (AHSCP) require a Peer Support Service for those with problematic drug and alcohol use and families affected by this.CPV: 85000000, 85000000.",Aberdeenshire’s Health and Social Care Partnership (AHSCP) require a Peer Support Service for those with problematic drug and alcohol use and families affected by this.,,85000000,"NUTS code:
UKM50

Main site or place of performance:
Aberdeenshire",,,,,15/08/2024,"This contract will be a 5 year contract (3 plus 2 year extension) at approximately 120,000 GBP per annum.",16/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
Aberlour Footway Reinstatement,MAY505988,ocds-r6ebe6-0000767565,Amey,27/05/2024,26/06/2024,12:00,Sub-Contract Opportunity,Yes,No,300m footway/kerbing  reinstatement at Aberlour,,,,,,,,,,,,
Appointment of subcontractor for ALCHEMAI project,JUN506875,ocds-r6ebe6-0000768371,Edinburgh Napier University,06/06/2024,,,15 Voluntary ex ante Transparency (VEAT) Notice,No,No,"Appointment of project consortium member as subcontractor for the ALCHEMAI projectCPV: 71315200, 71315200.","Appointment of subcontractor for the data collection phase using historical data, weather, building records and fabric first design principles.
Specialist Consultant appointed to support the delivery of externally funded project.
Main role is to undertake analysis of the buildings and data captured in order to present a strategy of potential retrofit solutions, their impact and the costs associated with implementation. Continued expert advice will be delivered through out the duration of the project.
The analysis and suite of options will feed into the tool being developed to enable options to be generated and continual learning to take place, providing an understanding what retrofit solutions work best on different building types.",,71315200,"NUTS code:
UKM8",,,"Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=768371.,06/06/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Charter for Passive Acoustics Mooring Servicing,MAY505072,ocds-r6ebe6-0000766443,Scottish Government,13/05/2024,22/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"The Marine Directorate - Science, Evidence, Digital and Data (MD-SEDD) portfolio are seeking tenders from work boats to undertake deployment and recovery of acoustic monitoring equipment.CPV: 73110000, 63726400.","The Marine Directorate - Science, Evidence, Digital and Data (MD-SEDD) portfolio are seeking tenders from work boats to undertake deployment and recovery of acoustic monitoring equipment. The tender will be for one or more mooring servicing trips between 27th May 2024 – 10th June 2024 (dates provided are flexible however the 15 days are required to be completed by the end of June 2024). The work will involve deploying and retrieving underwater passive acoustic monitoring (PAM) equipment, which may include broadband sound recorders and cetacean echolocation detectors. This work will be carried out on behalf of the Marine Directorate of Scottish Government.","Criteria below:
Quality criterion: Vessel Specification
                    / Weighting: 80
Quality criterion: Experience
                    / Weighting: 20
Price
                    
                      / Weighting: 
                      30",63726400,"NUTS code:
UKM

Main site or place of performance:
The work will take place off the north and east coasts of Scotland.","Start:
                27/05/2024
End:
                10/06/2024
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=766443.,13/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
PURCH2415 PIN / REQUEST FOR INFORMATION FOR THE PROVISION OF CARBON OFFSETTING OF UK BASED EMISSIONS FOR THE UNIVERSITY OF GLASGOW,APR503085,ocds-r6ebe6-0000763790,University of Glasgow,15/04/2024,,,01 Prior Information Notice (PIN),Yes,No,PURCH2415 PRIOR INFORMATION NOTICE (PIN) REQUEST FOR INFORMATION FOR THE PROVISION OF CARBON OFFSETTING OF UK BASED EMISSIONS FOR THE UNIVERSITY OF GLASGOWCPV: 24311800.,"PURCH2415 PRIOR INFORMATION NOTICE (PIN) REQUEST FOR INFORMATION FOR THE PROVISION OF CARBON OFFSETTING OF UK BASED EMISSIONS FOR THE UNIVERSITY OF GLASGOW
Our minimum offsetting requirement for UK-based emissions will be circa 24,000 tonnes CO2e per annum from 2030 onwards.   However, if we also move to address the carbon impact of international student flights, we may have an additional need for another 20,000 tonnes of offsets for UK-based emissions, per annum.
Please refer to the PURCH2415 - Prior Information Notice (PIN) document for additional information.",,,"NUTS code:
UKM82

Main site or place of performance:
Glasgow",,,,,29/11/2024,Please return the RFI to Marylise.Tate@glasgow.ac.uk by 12 noon on 15th May 2024.,15/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
